web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588815301-4545","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","J","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=J","Jung Yoon Ho","https://wiki.d-addicts.com/Jung_Yoon_Ho","184","66","/images/thumb/f/fd/Uknowyunho.jpg/300px-Uknowyunho.jpg"
"1588827849-13911","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","H","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=H","Ha Suk Jin","https://wiki.d-addicts.com/Ha_Suk_Jin","182","73","/images/thumb/f/fa/HaSukJin.jpg/300px-HaSukJin.jpg"
"1588815189-4439","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","K","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=K","Kang Mi Na","https://wiki.d-addicts.com/Kang_Mi_Na","162","47","/images/5/5c/Kang_Mi_Na.jpg"
"1588814224-3361","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","L","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=L","Loco","https://wiki.d-addicts.com/Loco","175","70","/images/2/2e/Loco.jpg"
"1588811711-321","https://wiki.d-addicts.com/Category:KArtist","KWriter","https://wiki.d-addicts.com/Category:KWriter","Y","https://wiki.d-addicts.com/index.php?title=Category:KWriter&from=Y","Yoon Sun Joo","https://wiki.d-addicts.com/Yoon_Sun_Joo","null","null","/images/thumb/4/44/Younsunjoo.jpg/200px-Younsunjoo.jpg"
"1588828005-14028","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","C","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=C","Chun Jae Ho","https://wiki.d-addicts.com/Chun_Jae_Ho","185","null","/images/thumb/c/c1/Chun_Jae_Ho.jpg/300px-Chun_Jae_Ho.jpg"
"1588828117-14122","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","C","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=C","Choi Ryung","https://wiki.d-addicts.com/Choi_Ryung","182","72","/images/f/f7/Choi_Ryung.jpg"
"1588826426-12709","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","K","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=K","Kim Hyung Bum","https://wiki.d-addicts.com/Kim_Hyung_Bum","177","72","/images/3/34/KimHyungBum.jpg"
"1588819651-8052","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","N","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=N","Nam Hyun","https://wiki.d-addicts.com/Nam_Hyun","163","47","/images/thumb/4/40/NamHyun.jpg/300px-NamHyun.jpg"
"1588827803-13881","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","H","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=H","Han Ji Sang","https://wiki.d-addicts.com/Han_Ji_Sang","null","null","/images/thumb/2/27/Han_Ji_Sang.jpg/300px-Han_Ji_Sang.jpg"
"1588819897-8226","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","L","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=L","Lee Seung Yun (1977)","https://wiki.d-addicts.com/Lee_Seung_Yun_(1977)","null","null","/images/thumb/2/2c/Lee_Seung_Yun_%281977%29.jpg/300px-Lee_Seung_Yun_%281977%29.jpg"
"1588817800-6695","https://wiki.d-addicts.com/Category:KArtist","KDirector","https://wiki.d-addicts.com/Category:KDirector","L","https://wiki.d-addicts.com/index.php?title=Category:KDirector&from=L","Lee Kwan Hee","https://wiki.d-addicts.com/Lee_Kwan_Hee","172","78",""
"1588824593-11389","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","S","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=S","Seo Woo Jin","https://wiki.d-addicts.com/Seo_Woo_Jin","177","66","/images/4/48/Seo_Woo_Jin.jpg"
