web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588818778-7418","https://wiki.d-addicts.com/Category:CArtist","CActress","https://wiki.d-addicts.com/Category:CActress","C","https://wiki.d-addicts.com/index.php?title=Category:CActress&from=C","Cai Ya Tong","https://wiki.d-addicts.com/Cai_Ya_Tong","null","null","/images/5/59/Cai_Ya_Tong.jpeg"
"1588819644-8047","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","Z","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=Z","Zhang Hai Yu","https://wiki.d-addicts.com/Zhang_Hai_Yu","null","null","/images/3/38/Zhang_Hai_Yu.jpeg"
"1588812314-1053","https://wiki.d-addicts.com/Category:CArtist","CActress","https://wiki.d-addicts.com/Category:CActress","Y","https://wiki.d-addicts.com/index.php?title=Category:CActress&from=Y","Yi Sha","https://wiki.d-addicts.com/Yi_Sha","null","null","/images/7/7c/Yi_Sha.jpg"
"1588828129-14135","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","C","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=C","Cheng Yong","https://wiki.d-addicts.com/Cheng_Yong","181","null","/images/d/df/ChengYong.jpg"
"1588818129-6930","https://wiki.d-addicts.com/Category:CArtist","CActress","https://wiki.d-addicts.com/Category:CActress","D","https://wiki.d-addicts.com/index.php?title=Category:CActress&from=D","Deng Li Zhen","https://wiki.d-addicts.com/Deng_Li_Zhen","null","null",""
"1588821248-9159","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","X","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=X","Xu Ge","https://wiki.d-addicts.com/Xu_Ge","null","null","/images/b/ba/Xu_Ge.jpeg"
"1588824634-11427","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","M","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=M","Ma Jing Jing","https://wiki.d-addicts.com/Ma_Jing_Jing","null","null","/images/8/8b/Ma_Jing_Jing.png"
"1588813573-2545","https://wiki.d-addicts.com/Category:CArtist","CActress","https://wiki.d-addicts.com/Category:CActress","W","https://wiki.d-addicts.com/index.php?title=Category:CActress&from=W","Wang Xin Yue","https://wiki.d-addicts.com/Wang_Xin_Yue","null","null","/images/a/a9/Wang_Xin_Yue.jpeg"
"1588812339-1085","https://wiki.d-addicts.com/Category:CArtist","CActress","https://wiki.d-addicts.com/Category:CActress","Y","https://wiki.d-addicts.com/index.php?title=Category:CActress&from=Y","Ye Zi Qi","https://wiki.d-addicts.com/Ye_Zi_Qi","null","null","/images/c/c5/Ye_Zi_Qi.jpg"
"1588819620-8028","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","Z","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=Z","Zhang Hao Cheng","https://wiki.d-addicts.com/Zhang_Hao_Cheng","null","null","/images/thumb/9/98/Zhang_Hao_Cheng.JPG/300px-Zhang_Hao_Cheng.JPG"
