web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,people,people-href,height,weight,image-src
"1588812980-1826","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","BMK","https://wiki.d-addicts.com/BMK","null","null","/images/4/4f/BMK.jpg"
"1588814617-3827","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Alan Tam","https://wiki.d-addicts.com/Alan_Tam","174","58","/images/8/81/AlanTam.jpg"
"1588812941-1786","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Byun Jin Sup","https://wiki.d-addicts.com/Byun_Jin_Sup","174","62","/images/9/9c/Byun_Jin_Sup.jpg"
"1588812667-1484","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Eun Hae Sung","https://wiki.d-addicts.com/Eun_Hae_Sung","183","67","/images/0/0c/Eun_Hae_Sung.jpg"
"1588811595-140","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Ruby Lin","https://wiki.d-addicts.com/Ruby_Lin","167","46","/images/a/ae/Rubylin.jpg"
"1588812442-1216","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Hong Dae Kwang","https://wiki.d-addicts.com/Hong_Dae_Kwang","176","63","/images/e/ef/Hong_Dae_Kwang.jpg"
"1588813894-2952","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Abe Natsumi","https://wiki.d-addicts.com/Abe_Natsumi","152","42","/images/f/f9/Abenatsumi.jpg"
"1588815029-4291","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Liu En You","https://wiki.d-addicts.com/Liu_En_You","180","68","/images/4/47/LiuEnYou.jpg"
"1588813748-2762","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Charlotte Kate Fox","https://wiki.d-addicts.com/Charlotte_Kate_Fox","167","null","/images/thumb/b/b8/Charlotte_Kate_Fox.jpg/150px-Charlotte_Kate_Fox.jpg"
"1588812343-1094","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Hwang Si Yeon","https://wiki.d-addicts.com/Hwang_Si_Yeon","null","null","/images/thumb/b/b1/Hwang_Si_Yeon.jpg/300px-Hwang_Si_Yeon.jpg"
"1588812456-1244","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Heo Ga Yoon","https://wiki.d-addicts.com/Heo_Ga_Yoon","165","43","/images/thumb/c/c5/Heogayoon.JPG/300px-Heogayoon.JPG"
"1588813958-3031","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Rico Kwok","https://wiki.d-addicts.com/Rico_Kwok","180","72","/images/a/ac/RicoKwok.jpg"
"1588814684-3897","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Wei Bin","https://wiki.d-addicts.com/Wei_Bin","178","66","/images/c/ce/WeiBin.jpg"
"1588814206-3344","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Kary Ng","https://wiki.d-addicts.com/Kary_Ng","167","44","/images/c/cf/Karyng.jpg"
